lamda;cuentas
413.43;839.90
413.56;837.05
413.69;839.75
413.82;834.35
413.95;831.00
414.08;830.75
414.21;831.70
414.34;829.75
414.47;829.30
414.60;831.00
414.73;829.40
414.86;824.85
414.99;826.85
415.11;833.55
415.24;835.55
415.37;840.15
415.50;840.05
415.63;839.00
415.76;834.05
415.89;834.00
416.02;830.35
416.15;836.45
416.28;836.50
416.41;839.50
416.54;834.15
416.67;836.45
416.79;835.80
416.92;839.75
417.05;838.85
417.18;849.85
417.31;853.85
417.44;853.40
417.57;851.70
417.70;853.55
417.83;848.35
417.96;846.30
418.09;843.40
418.22;844.60
418.34;847.50
418.47;849.75
418.60;852.20
418.73;854.30
418.86;852.00
418.99;845.15
419.12;845.70
419.25;842.25
419.38;849.70
419.51;849.50
419.64;851.00
419.76;850.50
419.89;848.90
420.02;843.55
420.15;843.30
420.28;847.05
420.41;843.90
420.54;845.85
420.67;845.40
420.80;843.85
420.93;844.25
421.05;847.55
421.18;847.15
421.31;849.20
421.44;855.40
421.57;854.40
421.70;851.00
421.83;856.75
421.96;857.25
422.09;855.30
422.22;856.65
422.34;858.95
422.47;854.80
422.60;855.75
422.73;853.65
422.86;851.85
422.99;852.35
423.12;855.85
423.25;852.35
423.38;855.10
423.51;854.40
423.63;852.50
423.76;849.50
423.89;856.30
424.02;855.75
424.15;856.85
424.28;855.90
424.41;859.20
424.54;852.50
424.67;849.65
424.79;849.00
424.92;859.25
425.05;860.05
425.18;867.75
425.31;872.25
425.44;874.85
425.57;868.80
425.70;865.60
425.83;860.90
425.95;860.15
426.08;856.15
426.21;860.30
426.34;865.75
426.47;868.20
426.60;866.30
426.73;867.00
426.86;866.40
426.98;868.85
427.11;866.30
427.24;865.00
427.37;869.70
427.50;867.35
427.63;865.30
427.76;870.40
427.89;878.25
428.01;875.35
428.14;874.40
428.27;868.50
428.40;863.10
428.53;860.25
428.66;862.40
